Slope_Angle,Rainfall_Intensity_mmh,Rainfall_Infiltration_sec,Evaluation
69,34,37,Medium Risk
70,37,41,Medium Risk
71,40,45,Medium Risk
72,43,49,Medium Risk
73,46,53,Medium Risk
74,49,57,Medium Risk
75,52,61,Medium Risk
76,55,65,Medium Risk
77,58,69,Medium Risk
78,61,73,Medium Risk
79,64,77,Medium Risk
80,67,81,Medium Risk
81,70,85,Medium Risk
82,73,89,Medium Risk
83,76,93,Medium Risk
84,79,97,Medium Risk
85,82,101,Medium Risk
86,85,105,Medium Risk
87,88,109,Medium Risk
88,91,113,Medium Risk
89,94,117,Medium Risk
90,97,1,High Risk
89,100,5,High Risk
88,1,9,Medium Risk
87,4,13,Medium Risk
86,7,17,Medium Risk
85,10,21,Medium Risk
84,13,25,Medium Risk
83,16,29,Medium Risk
82,19,33,Medium Risk
81,22,37,Medium Risk
80,25,41,Medium Risk
79,28,45,Medium Risk
78,31,49,Medium Risk
77,34,53,Medium Risk
76,37,57,Medium Risk
75,40,61,Medium Risk
74,43,65,Medium Risk
73,46,69,Medium Risk
72,49,73,Medium Risk
71,52,77,Medium Risk
70,55,81,Medium Risk
69,58,85,Medium Risk
68,61,89,Medium Risk
67,64,93,Medium Risk
66,67,97,Medium Risk
65,70,101,Medium Risk
64,73,105,Medium Risk
63,76,109,Medium Risk
62,79,113,Medium Risk
61,82,117,Medium Risk
60,85,1,Medium Risk
61,88,5,Medium Risk
62,91,9,Medium Risk
63,94,13,Medium Risk
64,97,17,Medium Risk
65,100,21,Medium Risk
66,1,25,Medium Risk
67,4,29,Medium Risk
68,7,33,Medium Risk
69,10,37,Medium Risk
70,13,41,Medium Risk
71,16,45,Medium Risk
72,19,49,Medium Risk
73,22,53,Medium Risk
74,25,57,Medium Risk
75,28,61,Medium Risk
76,31,65,Medium Risk
77,34,69,Medium Risk
78,37,73,Medium Risk
79,40,77,Medium Risk
80,43,81,Medium Risk
81,46,85,Medium Risk
82,49,89,Medium Risk
83,52,93,Medium Risk
84,55,97,Medium Risk
85,58,101,Medium Risk
86,61,105,Medium Risk
87,64,109,Medium Risk
88,67,113,Medium Risk
89,70,117,Medium Risk
90,73,1,High Risk
89,76,5,High Risk
88,79,9,High Risk
87,82,13,High Risk
86,85,17,High Risk
85,88,21,High Risk
84,91,25,High Risk
83,94,29,High Risk
82,97,33,High Risk
81,100,37,High Risk
80,1,41,Medium Risk
79,4,45,Medium Risk
78,7,49,Medium Risk
77,10,53,Medium Risk
76,13,57,Medium Risk
75,16,61,Medium Risk
74,19,65,Medium Risk
73,22,69,Medium Risk
72,25,73,Medium Risk
71,28,77,Medium Risk
70,31,81,Medium Risk
69,34,85,Medium Risk
68,37,89,Medium Risk
67,40,93,Medium Risk
66,43,97,Medium Risk
65,46,101,Medium Risk
64,49,105,Medium Risk
63,52,109,Medium Risk
62,55,113,Medium Risk
61,58,117,Medium Risk
60,61,1,Medium Risk
61,64,5,Medium Risk
62,67,9,Medium Risk
63,70,13,Medium Risk
64,73,17,Medium Risk
65,76,21,Medium Risk
66,79,25,Medium Risk
67,82,29,Medium Risk
68,85,33,Medium Risk
69,88,37,Medium Risk
70,91,41,Medium Risk
71,94,45,Medium Risk
72,97,49,Medium Risk
73,100,53,Medium Risk
74,1,57,Medium Risk
75,4,61,Medium Risk
76,7,65,Medium Risk
77,10,69,Medium Risk
78,13,73,Medium Risk
79,16,77,Medium Risk
80,19,81,Medium Risk
81,22,85,Medium Risk
82,25,89,Medium Risk
83,28,93,Medium Risk
84,31,97,Medium Risk
85,34,101,Medium Risk
86,37,105,Medium Risk
87,40,109,Medium Risk
88,43,113,Medium Risk
89,46,117,Medium Risk
90,49,1,Medium Risk
89,52,5,Medium Risk
88,55,9,Medium Risk
87,58,13,Medium Risk
86,61,17,Medium Risk
85,64,21,Medium Risk
84,67,25,Medium Risk
83,70,29,High Risk
82,73,33,High Risk
81,76,37,High Risk
80,79,41,Medium Risk
79,82,45,Medium Risk
78,85,49,Medium Risk
77,88,53,Medium Risk
76,91,57,Medium Risk
75,94,61,Medium Risk
74,97,65,Medium Risk
73,100,69,Medium Risk
72,1,73,Medium Risk
71,4,77,Medium Risk
70,7,81,Low Risk
69,10,85,Low Risk
68,13,89,Low Risk
67,16,93,Low Risk
66,19,97,Low Risk
65,22,101,Low Risk
64,25,105,Low Risk
63,28,109,Low Risk
62,31,113,Medium Risk
61,34,117,Medium Risk
60,37,1,Medium Risk
61,40,5,Medium Risk
62,43,9,Medium Risk
63,46,13,Medium Risk
64,49,17,Medium Risk
65,52,21,Medium Risk
66,55,25,Medium Risk
67,58,29,Medium Risk
68,61,33,Medium Risk
69,64,37,Medium Risk
70,67,41,Medium Risk
71,70,45,Medium Risk
72,73,49,Medium Risk
73,76,53,Medium Risk
74,79,57,Medium Risk
75,82,61,Medium Risk
76,85,65,Medium Risk
77,88,69,Medium Risk
78,91,73,Medium Risk
79,94,77,Medium Risk
80,97,81,Medium Risk
81,100,85,Medium Risk
82,1,89,Medium Risk
83,4,93,Medium Risk
84,7,97,Medium Risk
85,10,101,Medium Risk
86,13,105,Medium Risk
87,16,109,Medium Risk
88,19,113,Medium Risk
89,22,117,Medium Risk
90,25,1,Medium Risk
89,28,5,Medium Risk
88,31,9,Medium Risk
87,34,13,Medium Risk
86,37,17,Medium Risk
85,40,21,Medium Risk
84,43,25,Medium Risk
83,46,29,Medium Risk
82,49,33,Medium Risk
81,52,37,Medium Risk
80,55,41,Medium Risk
79,58,45,Medium Risk
78,61,49,Medium Risk
77,64,53,Medium Risk
76,67,57,Medium Risk
75,70,61,Medium Risk
74,73,65,Medium Risk
73,76,69,Medium Risk
72,79,73,Medium Risk
71,82,77,Medium Risk
70,85,81,Medium Risk
69,88,85,Medium Risk
68,91,89,Medium Risk
67,94,93,Medium Risk
66,97,97,Medium Risk
65,100,101,Medium Risk
64,1,105,Low Risk
63,4,109,Low Risk
62,7,113,Low Risk
61,10,117,Low Risk
60,13,1,Medium Risk
61,16,5,Medium Risk
62,19,9,Medium Risk
63,22,13,Medium Risk
64,25,17,Medium Risk
65,28,21,Medium Risk
66,31,25,Medium Risk
67,34,29,Medium Risk
68,37,33,Medium Risk
69,40,37,Medium Risk
70,43,41,Medium Risk
71,46,45,Medium Risk
72,49,49,Medium Risk
73,52,53,Medium Risk
74,55,57,Medium Risk
75,58,61,Medium Risk
76,61,65,Medium Risk
77,64,69,Medium Risk
78,67,73,Medium Risk
79,70,77,Medium Risk
80,73,81,Medium Risk
81,76,85,Medium Risk
82,79,89,Medium Risk
83,82,93,Medium Risk
84,85,97,Medium Risk
85,88,101,Medium Risk
86,91,105,Medium Risk
87,94,109,Medium Risk
88,97,113,Medium Risk
89,100,117,Medium Risk
90,1,1,Medium Risk
89,4,5,Medium Risk
88,7,9,Medium Risk
87,10,13,Medium Risk
86,13,17,Medium Risk
85,16,21,Medium Risk
84,19,25,Medium Risk
83,22,29,Medium Risk
82,25,33,Medium Risk
81,28,37,Medium Risk
80,31,41,Medium Risk
79,34,45,Medium Risk
78,37,49,Medium Risk
77,40,53,Medium Risk
76,43,57,Medium Risk
75,46,61,Medium Risk
74,49,65,Medium Risk
73,52,69,Medium Risk
72,55,73,Medium Risk
71,58,77,Medium Risk
70,61,81,Medium Risk
69,64,85,Medium Risk
68,67,89,Medium Risk
67,70,93,Medium Risk
66,73,97,Medium Risk
65,76,101,Medium Risk
64,79,105,Medium Risk
63,82,109,Medium Risk
62,85,113,Medium Risk
61,88,117,Medium Risk
60,91,1,Medium Risk
61,94,5,Medium Risk
62,97,9,Medium Risk
63,100,13,Medium Risk
64,1,17,Medium Risk
65,4,21,Medium Risk
66,7,25,Medium Risk
67,10,29,Medium Risk
68,13,33,Medium Risk
69,16,37,Medium Risk
70,19,41,Medium Risk
71,22,45,Medium Risk
72,25,49,Medium Risk
73,28,53,Medium Risk
74,31,57,Medium Risk
75,34,61,Medium Risk
76,37,65,Medium Risk
77,40,69,Medium Risk
78,43,73,Medium Risk
79,46,77,Medium Risk
80,49,81,Medium Risk
81,52,85,Medium Risk
82,55,89,Medium Risk
83,58,93,Medium Risk
84,61,97,Medium Risk
85,64,101,Medium Risk
86,67,105,Medium Risk
87,70,109,Medium Risk
88,73,113,Medium Risk
89,76,117,Medium Risk
90,79,1,High Risk
89,82,5,High Risk
88,85,9,High Risk
87,88,13,High Risk
86,91,17,High Risk
85,94,21,High Risk
84,97,25,High Risk
83,100,29,High Risk
82,1,33,Medium Risk
81,4,37,Medium Risk
80,7,41,Medium Risk
79,10,45,Medium Risk
78,13,49,Medium Risk
77,16,53,Medium Risk
76,19,57,Medium Risk
75,22,61,Medium Risk
74,25,65,Medium Risk
73,28,69,Medium Risk
72,31,73,Medium Risk
71,34,77,Medium Risk
70,37,81,Medium Risk
69,40,85,Medium Risk
68,43,89,Medium Risk
67,46,93,Medium Risk
66,49,97,Medium Risk
65,52,101,Medium Risk
64,55,105,Medium Risk
63,58,109,Medium Risk
62,61,113,Medium Risk
61,64,117,Medium Risk
60,67,1,Medium Risk
61,70,5,Medium Risk
62,73,9,Medium Risk
63,76,13,Medium Risk
64,79,17,Medium Risk
65,82,21,Medium Risk
66,85,25,Medium Risk
67,88,29,Medium Risk
68,91,33,Medium Risk
69,94,37,Medium Risk
70,97,41,Medium Risk
71,100,45,Medium Risk
72,1,49,Medium Risk
73,4,53,Medium Risk
74,7,57,Medium Risk
75,10,61,Medium Risk
76,13,65,Medium Risk
77,16,69,Medium Risk
78,19,73,Medium Risk
79,22,77,Medium Risk
80,25,81,Medium Risk
81,28,85,Medium Risk
82,31,89,Medium Risk
83,34,93,Medium Risk
84,37,97,Medium Risk
85,40,101,Medium Risk
86,43,105,Medium Risk
87,46,109,Medium Risk
88,49,113,Medium Risk
89,52,117,Medium Risk
90,55,1,Medium Risk
89,58,5,Medium Risk
88,61,9,Medium Risk
87,64,13,Medium Risk
86,67,17,Medium Risk
85,70,21,High Risk
84,73,25,High Risk
83,76,29,High Risk
82,79,33,High Risk
81,82,37,High Risk
80,85,41,Medium Risk
79,88,45,Medium Risk
78,91,49,Medium Risk
77,94,53,Medium Risk
76,97,57,Medium Risk
75,100,61,Medium Risk
74,1,65,Medium Risk
73,4,69,Medium Risk
72,7,73,Medium Risk
71,10,77,Medium Risk
70,13,81,Low Risk
69,16,85,Low Risk
68,19,89,Low Risk
67,22,93,Low Risk
66,25,97,Low Risk
65,28,101,Low Risk
64,31,105,Medium Risk
63,34,109,Medium Risk
62,37,113,Medium Risk
61,40,117,Medium Risk
60,43,1,Medium Risk
61,46,5,Medium Risk
62,49,9,Medium Risk
63,52,13,Medium Risk
64,55,17,Medium Risk
65,58,21,Medium Risk
66,61,25,Medium Risk
67,64,29,Medium Risk
68,67,33,Medium Risk
69,70,37,Medium Risk
70,73,41,Medium Risk
71,76,45,Medium Risk
72,79,49,Medium Risk
73,82,53,Medium Risk
74,85,57,Medium Risk
75,88,61,Medium Risk
76,91,65,Medium Risk
77,94,69,Medium Risk
78,97,73,Medium Risk
79,100,77,Medium Risk
80,1,81,Medium Risk
81,4,85,Medium Risk
82,7,89,Medium Risk
83,10,93,Medium Risk
84,13,97,Medium Risk
85,16,101,Medium Risk
86,19,105,Medium Risk
87,22,109,Medium Risk
88,25,113,Medium Risk
89,28,117,Medium Risk
90,31,1,Medium Risk
89,34,5,Medium Risk
88,37,9,Medium Risk
87,40,13,Medium Risk
86,43,17,Medium Risk
85,46,21,Medium Risk
84,49,25,Medium Risk
83,52,29,Medium Risk
82,55,33,Medium Risk
81,58,37,Medium Risk
80,61,41,Medium Risk
79,64,45,Medium Risk
78,67,49,Medium Risk
77,70,53,Medium Risk
76,73,57,Medium Risk
75,76,61,Medium Risk
74,79,65,Medium Risk
73,82,69,Medium Risk
72,85,73,Medium Risk
71,88,77,Medium Risk
70,91,81,Medium Risk
69,94,85,Medium Risk
68,97,89,Medium Risk
67,100,93,Medium Risk
66,1,97,Low Risk
65,4,101,Low Risk
64,7,105,Low Risk
63,10,109,Low Risk
62,13,113,Low Risk
61,16,117,Low Risk
60,19,1,Medium Risk
61,22,5,Medium Risk
62,25,9,Medium Risk
63,28,13,Medium Risk
64,31,17,Medium Risk
65,34,21,Medium Risk
66,37,25,Medium Risk
67,40,29,Medium Risk
68,43,33,Medium Risk
69,46,37,Medium Risk
70,49,41,Medium Risk
71,52,45,Medium Risk
72,55,49,Medium Risk
73,58,53,Medium Risk
74,61,57,Medium Risk
75,64,61,Medium Risk
76,67,65,Medium Risk
77,70,69,Medium Risk
78,73,73,Medium Risk
79,76,77,Medium Risk
80,79,81,Medium Risk
81,82,85,Medium Risk
82,85,89,Medium Risk
83,88,93,Medium Risk
84,91,97,Medium Risk
85,94,101,Medium Risk
86,97,105,Medium Risk
87,100,109,Medium Risk
88,1,113,Medium Risk
89,4,117,Medium Risk
90,7,1,Medium Risk
89,10,5,Medium Risk
88,13,9,Medium Risk
87,16,13,Medium Risk
86,19,17,Medium Risk
85,22,21,Medium Risk
84,25,25,Medium Risk
83,28,29,Medium Risk
82,31,33,Medium Risk
81,34,37,Medium Risk
80,37,41,Medium Risk
79,40,45,Medium Risk
78,43,49,Medium Risk
77,46,53,Medium Risk
76,49,57,Medium Risk
75,52,61,Medium Risk
74,55,65,Medium Risk
73,58,69,Medium Risk
72,61,73,Medium Risk
71,64,77,Medium Risk
70,67,81,Medium Risk
69,70,85,Medium Risk
68,73,89,Medium Risk
67,76,93,Medium Risk
66,79,97,Medium Risk
65,82,101,Medium Risk
64,85,105,Medium Risk
63,88,109,Medium Risk
62,91,113,Medium Risk
61,94,117,Medium Risk
60,97,1,Medium Risk
61,100,5,Medium Risk
62,1,9,Medium Risk
63,4,13,Medium Risk
64,7,17,Medium Risk
65,10,21,Medium Risk
66,13,25,Medium Risk
67,16,29,Medium Risk
68,19,33,Medium Risk
69,22,37,Medium Risk
70,25,41,Medium Risk
71,28,45,Medium Risk
72,31,49,Medium Risk
73,34,53,Medium Risk
74,37,57,Medium Risk
75,40,61,Medium Risk
76,43,65,Medium Risk
77,46,69,Medium Risk
78,49,73,Medium Risk
79,52,77,Medium Risk
80,55,81,Medium Risk
81,58,85,Medium Risk
82,61,89,Medium Risk
83,64,93,Medium Risk
84,67,97,Medium Risk
85,70,101,Medium Risk
86,73,105,Medium Risk
87,76,109,Medium Risk
88,79,113,Medium Risk
89,82,117,Medium Risk
90,85,1,High Risk
89,88,5,High Risk
88,91,9,High Risk
87,94,13,High Risk
86,97,17,High Risk
85,100,21,High Risk
84,1,25,Medium Risk
83,4,29,Medium Risk
82,7,33,Medium Risk
81,10,37,Medium Risk
80,13,41,Medium Risk
79,16,45,Medium Risk
78,19,49,Medium Risk
77,22,53,Medium Risk
76,25,57,Medium Risk
75,28,61,Medium Risk
74,31,65,Medium Risk
73,34,69,Medium Risk
72,37,73,Medium Risk
71,40,77,Medium Risk
70,43,81,Medium Risk
69,46,85,Medium Risk
68,49,89,Medium Risk
67,52,93,Medium Risk
66,55,97,Medium Risk
65,58,101,Medium Risk
64,61,105,Medium Risk
63,64,109,Medium Risk
62,67,113,Medium Risk
61,70,117,Medium Risk
60,73,1,Medium Risk
61,76,5,Medium Risk
62,79,9,Medium Risk
63,82,13,Medium Risk
64,85,17,Medium Risk
65,88,21,Medium Risk
66,91,25,Medium Risk
67,94,29,Medium Risk
68,97,33,Medium Risk
69,100,37,Medium Risk
70,1,41,Medium Risk
71,4,45,Medium Risk
72,7,49,Medium Risk
73,10,53,Medium Risk
74,13,57,Medium Risk
75,16,61,Medium Risk
76,19,65,Medium Risk
77,22,69,Medium Risk
78,25,73,Medium Risk
79,28,77,Medium Risk
80,31,81,Medium Risk
81,34,85,Medium Risk
82,37,89,Medium Risk
83,40,93,Medium Risk
84,43,97,Medium Risk
85,46,101,Medium Risk
86,49,105,Medium Risk
87,52,109,Medium Risk
88,55,113,Medium Risk
89,58,117,Medium Risk
90,61,1,Medium Risk
89,64,5,Medium Risk
88,67,9,Medium Risk
87,70,13,High Risk
86,73,17,High Risk
85,76,21,High Risk
84,79,25,High Risk
83,82,29,High Risk
82,85,33,High Risk
81,88,37,High Risk
80,91,41,Medium Risk
79,94,45,Medium Risk
78,97,49,Medium Risk
77,100,53,Medium Risk
76,1,57,Medium Risk
75,4,61,Medium Risk
74,7,65,Medium Risk
73,10,69,Medium Risk
72,13,73,Medium Risk
71,16,77,Medium Risk
70,19,81,Low Risk
69,22,85,Low Risk
68,25,89,Low Risk
67,28,93,Low Risk
66,31,97,Medium Risk
65,34,101,Medium Risk
64,37,105,Medium Risk
63,40,109,Medium Risk
62,43,113,Medium Risk
61,46,117,Medium Risk
60,49,1,Medium Risk
61,52,5,Medium Risk
62,55,9,Medium Risk
63,58,13,Medium Risk
64,61,17,Medium Risk
65,64,21,Medium Risk
66,67,25,Medium Risk
67,70,29,Medium Risk
68,73,33,Medium Risk
69,76,37,Medium Risk
70,79,41,Medium Risk
71,82,45,Medium Risk
72,85,49,Medium Risk
73,88,53,Medium Risk
74,91,57,Medium Risk
75,94,61,Medium Risk
76,97,65,Medium Risk
77,100,69,Medium Risk
78,1,73,Medium Risk
79,4,77,Medium Risk
80,7,81,Medium Risk
81,10,85,Medium Risk
82,13,89,Medium Risk
83,16,93,Medium Risk
84,19,97,Medium Risk
85,22,101,Medium Risk
86,25,105,Medium Risk
87,28,109,Medium Risk
88,31,113,Medium Risk
89,34,117,Medium Risk
90,37,1,Medium Risk
89,40,5,Medium Risk
88,43,9,Medium Risk
87,46,13,Medium Risk
86,49,17,Medium Risk
85,52,21,Medium Risk
84,55,25,Medium Risk
83,58,29,Medium Risk
82,61,33,Medium Risk
81,64,37,Medium Risk
80,67,41,Medium Risk
79,70,45,Medium Risk
78,73,49,Medium Risk
77,76,53,Medium Risk
76,79,57,Medium Risk
75,82,61,Medium Risk
74,85,65,Medium Risk
73,88,69,Medium Risk
72,91,73,Medium Risk
71,94,77,Medium Risk
70,97,81,Medium Risk
69,100,85,Medium Risk
68,1,89,Low Risk
67,4,93,Low Risk
66,7,97,Low Risk
65,10,101,Low Risk
64,13,105,Low Risk
63,16,109,Low Risk
62,19,113,Low Risk
61,22,117,Low Risk
60,25,1,Medium Risk
61,28,5,Medium Risk
62,31,9,Medium Risk
63,34,13,Medium Risk
64,37,17,Medium Risk
65,40,21,Medium Risk
66,43,25,Medium Risk
67,46,29,Medium Risk
68,49,33,Medium Risk
69,52,37,Medium Risk
70,55,41,Medium Risk
71,58,45,Medium Risk
72,61,49,Medium Risk
73,64,53,Medium Risk
74,67,57,Medium Risk
75,70,61,Medium Risk
76,73,65,Medium Risk
77,76,69,Medium Risk
78,79,73,Medium Risk
79,82,77,Medium Risk
80,85,81,Medium Risk
81,88,85,Medium Risk
82,91,89,Medium Risk
83,94,93,Medium Risk
84,97,97,Medium Risk
85,100,101,Medium Risk
86,1,105,Medium Risk
87,4,109,Medium Risk
88,7,113,Medium Risk
89,10,117,Medium Risk
90,13,1,Medium Risk
89,16,5,Medium Risk
88,19,9,Medium Risk
87,22,13,Medium Risk
86,25,17,Medium Risk
85,28,21,Medium Risk
84,31,25,Medium Risk
83,34,29,Medium Risk
82,37,33,Medium Risk
81,40,37,Medium Risk
